id,senator_party,condition,pid7,pre_sexism_1,pre_sexism_2,pre_sexism_3,pre_sexism_4,pre_favorability,pre_vote,gender,age,newsinterest,post_favorability,post_vote,punishment_1,punishment_2,punishment_3,punishment_4,punishment_5,post_sexism_1,post_sexism_2,post_sexism_3,post_sexism_4
1,Democrat,2,Strong Republican,Agree strongly,Disagree strongly,Disagree somewhat,Agree strongly,5,3,Man,25-34,Most of the time,5,7,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
2,Republican,2,Not very strong Democrat,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Disagree somewhat,5,3,Man,18-24,Don't know,2,2,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree
3,Republican,2,Strong Democrat,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,5,2,Man,18-24,Some of the time,2,2,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree strongly
4,Republican,1,Independent,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,7,6,Man,18-24,Most of the time,5,7,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Disagree strongly,Neither disagree nor agree
5,Democrat,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,6,8,Woman,25-34,Most of the time,7,8,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
6,Republican,2,Lean Republican,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Agree somewhat,7,4,Woman,25-34,Most of the time,6,4,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat
7,Republican,3,Strong Democrat,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree somewhat,7,6,Man,25-34,Some of the time,6,8,,,,,,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree somewhat
8,Republican,3,Not very strong Republican,Agree strongly,Agree strongly,Agree strongly,Agree strongly,10,10,Woman,25-34,Most of the time,10,10,,,,,,Agree strongly,Agree strongly,Agree strongly,Agree strongly
9,Democrat,2,Not very strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,10,Man,25-34,Most of the time,5,6,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
10,Democrat,3,Strong Democrat,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree strongly,8,9,Man,18-24,Most of the time,7,7,,,,,,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
